,BUILDINGID,WattHours,time
0,0002,3022.0,2021-11-07T20:57:01.288394Z
1,0005,49149.75,2021-11-07T20:57:01.288394Z
2,0006,52025.75,2021-11-07T20:57:01.288394Z
3,0007,42441.25,2021-11-07T20:57:01.288394Z
4,0008,42302.0,2021-11-07T20:57:01.288394Z
5,0009,19090.5,2021-11-07T20:57:01.288394Z
6,0010,16812.68275,2021-11-07T20:57:01.288394Z
7,0012,6645.5,2021-11-07T20:57:01.288394Z
8,0013,6019.75,2021-11-07T20:57:01.288394Z
9,0014,1492.5,2021-11-07T20:57:01.288394Z
10,0015,208.75925,2021-11-07T20:57:01.288394Z
11,0016,25493.0,2021-11-07T20:57:01.288394Z
12,0017,10.75025,2021-11-07T20:57:01.288394Z
13,0018,638.0,2021-11-07T20:57:01.288394Z
14,0019,53299.25,2021-11-07T20:57:01.288394Z
15,0027,4371.5,2021-11-07T20:57:01.288394Z
16,0029,42317.0,2021-11-07T20:57:01.288394Z
17,0030,24679.0,2021-11-07T20:57:01.288394Z
18,0031,14340.75,2021-11-07T20:57:01.288394Z
19,0032,1189.25,2021-11-07T20:57:01.288394Z
20,0033,7400.25,2021-11-07T20:57:01.288394Z
21,0034,12253.5,2021-11-07T20:57:01.288394Z
22,0035,4470.75,2021-11-07T20:57:01.288394Z
23,0036,4151.5,2021-11-07T20:57:01.288394Z
24,0037,55031.0,2021-11-07T20:57:01.288394Z
25,0038,17173.75,2021-11-07T20:57:01.288394Z
26,0039,19002.592,2021-11-07T20:57:01.288394Z
27,0040,1984.946,2021-11-07T20:57:01.288394Z
28,0041,327.4255,2021-11-07T20:57:01.288394Z
29,0042,489.44175,2021-11-07T20:57:01.288394Z
30,0047,10240.25,2021-11-07T20:57:01.288394Z
31,0048,1124.5,2021-11-07T20:57:01.288394Z
32,0049,36232.75,2021-11-07T20:57:01.288394Z
33,0051,19771.0,2021-11-07T20:57:01.288394Z
34,0058,12520.5,2021-11-07T20:57:01.288394Z
35,0063,59093.75,2021-11-07T20:57:01.288394Z
36,0064,7263.25,2021-11-07T20:57:01.288394Z
37,0065,18285.25,2021-11-07T20:57:01.288394Z
38,0066,7.18775,2021-11-07T20:57:01.288394Z
39,0067,10620.5,2021-11-07T20:57:01.288394Z
40,0068,14876.7795,2021-11-07T20:57:01.288394Z
41,0069,265.34525,2021-11-07T20:57:01.288394Z
42,006a,2563.25,2021-11-07T20:57:01.288394Z
43,0071,1330.0,2021-11-07T20:57:01.288394Z
44,0072,1151.75,2021-11-07T20:57:01.288394Z
45,0073,1221.75,2021-11-07T20:57:01.288394Z
46,0074,1192.75,2021-11-07T20:57:01.288394Z
47,0075,1209.25,2021-11-07T20:57:01.288394Z
48,0076,1168.25,2021-11-07T20:57:01.288394Z
49,0077,790.0,2021-11-07T20:57:01.288394Z
50,0080,3510.75,2021-11-07T20:57:01.288394Z
51,0081,6203.0,2021-11-07T20:57:01.288394Z
52,0083,2910.0,2021-11-07T20:57:01.288394Z
53,0084,2168.0,2021-11-07T20:57:01.288394Z
54,0085,1621.75,2021-11-07T20:57:01.288394Z
55,0086,2417.75,2021-11-07T20:57:01.288394Z
56,0087,9254.5,2021-11-07T20:57:01.288394Z
57,0088,870.0,2021-11-07T20:57:01.288394Z
58,0089,1489.75,2021-11-07T20:57:01.288394Z
59,008b,51380.75,2021-11-07T20:57:01.288394Z
60,0090,1704.25,2021-11-07T20:57:01.288394Z
61,0091,2889.75,2021-11-07T20:57:01.288394Z
62,0092,3484.0,2021-11-07T20:57:01.288394Z
63,0093,3902.5,2021-11-07T20:57:01.288394Z
64,0094,2808.75,2021-11-07T20:57:01.288394Z
65,0095,4374.75,2021-11-07T20:57:01.288394Z
66,0096,1445.75,2021-11-07T20:57:01.288394Z
67,0097,3875.5,2021-11-07T20:57:01.288394Z
68,0098,4.01975,2021-11-07T20:57:01.288394Z
69,0099,3160.25,2021-11-07T20:57:01.288394Z
70,009a,73895.5,2021-11-07T20:57:01.288394Z
71,0100,1691.5,2021-11-07T20:57:01.288394Z
72,0101,2335.25,2021-11-07T20:57:01.288394Z
73,0102,2088.25,2021-11-07T20:57:01.288394Z
74,0104,2778.5,2021-11-07T20:57:01.288394Z
75,0105,2995.5,2021-11-07T20:57:01.288394Z
76,0106,4876.0,2021-11-07T20:57:01.288394Z
77,0107,3111.5,2021-11-07T20:57:01.288394Z
78,0111,113455.0,2021-11-07T20:57:01.288394Z
79,0113,31406.25,2021-11-07T20:57:01.288394Z
80,0114,9931.5,2021-11-07T20:57:01.288394Z
81,0115,4098.25,2021-11-07T20:57:01.288394Z
82,0117,25660.5,2021-11-07T20:57:01.288394Z
83,0118,22249.75,2021-11-07T20:57:01.288394Z
84,0121,15038.0,2021-11-07T20:57:01.288394Z
85,0123,2202.75,2021-11-07T20:57:01.288394Z
86,0124,50025.0,2021-11-07T20:57:01.288394Z
87,0128,10661.75,2021-11-07T20:57:01.288394Z
88,0130,1523.0,2021-11-07T20:57:01.288394Z
89,0151,8.86375,2021-11-07T20:57:01.288394Z
90,016a,11473.75,2021-11-07T20:57:01.288394Z
91,0194,1900.75,2021-11-07T20:57:01.288394Z
92,0201,32405.5,2021-11-07T20:57:01.288394Z
93,0202,48226.0,2021-11-07T20:57:01.288394Z
94,026a,4923.2575,2021-11-07T20:57:01.288394Z
95,109a,2941.25,2021-11-07T20:57:01.288394Z
96,109b,4170.75,2021-11-07T20:57:01.288394Z
97,109c,3787.25,2021-11-07T20:57:01.288394Z
98,109d,1327.25,2021-11-07T20:57:01.288394Z
99,0002,4663.0,2021-11-07T20:42:01.281550Z
100,0005,49543.5,2021-11-07T20:42:01.281550Z
101,0006,52276.75,2021-11-07T20:42:01.281550Z
102,0007,46365.5,2021-11-07T20:42:01.281550Z
103,0008,41547.5,2021-11-07T20:42:01.281550Z
104,0009,19657.5,2021-11-07T20:42:01.281550Z
105,0010,16950.126,2021-11-07T20:42:01.281550Z
106,0012,8026.75,2021-11-07T20:42:01.281550Z
107,0013,5778.75,2021-11-07T20:42:01.281550Z
108,0014,1891.25,2021-11-07T20:42:01.281550Z
109,0015,247.78325,2021-11-07T20:42:01.281550Z
110,0016,25153.25,2021-11-07T20:42:01.281550Z
111,0017,14.39425,2021-11-07T20:42:01.281550Z
112,0018,812.0,2021-11-07T20:42:01.281550Z
113,0019,52039.75,2021-11-07T20:42:01.281550Z
114,0027,4163.25,2021-11-07T20:42:01.281550Z
115,0029,42629.25,2021-11-07T20:42:01.281550Z
116,0030,24090.25,2021-11-07T20:42:01.281550Z
117,0031,14602.0,2021-11-07T20:42:01.281550Z
118,0032,1177.25,2021-11-07T20:42:01.281550Z
119,0033,7656.25,2021-11-07T20:42:01.281550Z
